Age,Income,Credit_Score,Loan_Amount,Employment_Years,Existing_Loan,Loan_Term,Debt_to_Income,Loan_Approved
57,74620,648,267228,34,0,15,46.1,No
44,35317,648,92727,22,0,3,12.2,No
49,27564,625,390615,30,0,15,42.9,No
51,47345,801,582356,28,1,7,57.8,No
55,99273,737,691211,33,0,15,59.0,Yes
53,94859,634,450511,32,1,5,34.7,No
41,94038,650,484376,19,0,3,35.3,Yes
52,72393,735,61390,32,0,5,14.2,Yes
43,86081,723,681040,25,0,7,46.9,Yes
53,49430,702,987635,29,0,5,55.2,Yes
23,95532,755,406898,2,0,5,23.5,No
38,47788,585,388113,20,0,5,33.2,Yes
45,68543,649,720398,27,1,10,56.1,No
51,33919,734,799078,30,0,7,58.2,No
23,89346,844,389208,3,0,5,23.4,Yes
60,59974,521,71281,35,1,5,40.3,No
44,36371,847,104189,20,1,5,20.6,Yes
52,65084,784,312093,30,1,3,15.6,Yes
42,49629,768,360655,19,0,10,60.1,Yes
43,71184,757,696403,21,1,3,55.1,Yes
22,81916,528,582893,1,1,10,51.8,No
47,93972,712,412462,23,0,5,12.7,Yes
22,82187,782,444597,0,0,7,56.4,Yes
46,32984,549,856242,22,0,15,34.1,No
37,53039,594,299415,13,0,15,28.8,Yes
60,78606,587,729682,35,1,5,40.1,No
53,30616,543,91869,30,0,3,15.0,No
29,70072,777,607243,8,1,7,51.6,Yes
59,44574,670,635676,35,0,10,42.0,Yes
49,23430,688,815612,31,0,5,20.3,Yes
46,32676,683,60207,22,0,7,20.4,Yes
55,30816,502,268401,35,0,7,20.1,No
45,52733,690,209292,27,1,10,13.1,Yes
44,22050,617,527266,26,1,7,42.3,No
33,53933,518,546762,12,0,3,56.2,No
27,44951,522,255157,9,0,3,11.0,Yes
56,52413,529,72031,35,0,3,12.7,Yes
40,54801,794,513937,16,1,7,41.5,Yes
21,75619,607,917239,0,0,3,55.1,No
28,52913,780,645600,9,0,10,28.0,Yes
36,60600,627,634054,16,0,7,29.2,Yes
34,77775,728,193521,12,1,15,42.8,Yes
32,55400,610,401977,9,0,7,25.1,Yes
43,24494,635,237771,21,0,10,11.5,No
35,94691,685,287199,15,1,15,50.4,Yes
48,63001,643,811019,25,0,7,44.4,No
54,87364,571,810129,32,0,3,41.9,No
22,65028,628,685329,3,1,5,50.8,No
52,57573,760,690473,29,1,5,47.1,Yes
43,20806,502,227164,19,0,3,21.3,No
42,76638,603,506887,20,0,5,29.4,Yes
45,49757,723,584638,22,0,5,16.9,Yes
42,54636,819,801518,23,1,3,17.1,Yes
42,68280,509,937291,24,0,3,47.2,No
26,44262,801,563313,3,1,7,57.2,No
35,82211,730,835858,12,0,7,63.0,Yes
57,74842,718,118487,35,0,3,44.6,Yes
53,76979,565,198694,35,1,10,20.1,No
28,58197,611,173853,6,1,5,15.8,No
25,61844,512,365261,4,0,7,54.7,No
59,84754,585,285062,35,0,5,41.8,No
24,54157,733,501610,6,0,15,44.0,Yes
26,97129,589,283077,6,1,3,53.0,No
52,60042,813,937516,33,1,10,48.7,No
50,81665,553,73782,28,0,15,55.9,No
55,47376,511,559492,32,1,15,13.1,No
60,75554,708,864886,35,0,15,51.1,Yes
36,34199,513,904336,12,0,3,56.8,No
33,70948,620,704224,15,0,7,25.7,Yes
50,93781,519,458808,28,0,3,45.2,No
39,92750,574,203245,20,0,7,27.3,Yes
37,86262,742,172258,15,0,15,62.7,Yes
39,66600,722,685956,20,0,15,11.8,Yes
48,96898,569,504418,25,1,10,41.9,No
46,82483,811,532616,22,0,7,19.2,Yes
57,38297,710,436328,33,0,15,49.2,Yes
46,50448,600,556581,26,0,5,19.7,Yes
43,46172,685,473966,24,1,10,22.9,Yes
29,62874,631,328710,7,0,3,37.2,Yes
32,27657,610,712550,8,0,10,60.3,No
21,45425,631,612621,3,1,5,21.6,No
21,46685,519,434073,0,0,7,17.9,Yes
54,44578,523,786265,33,0,3,51.7,Yes
52,48831,726,663859,31,1,3,37.5,Yes
45,27906,653,170263,21,0,7,60.1,Yes
60,81413,792,969093,35,0,10,18.1,Yes
21,74028,729,599523,1,0,15,45.5,Yes
36,27287,809,50159,12,0,10,22.8,Yes
59,53660,701,717505,35,0,5,18.6,Yes
25,95758,537,212993,3,0,15,47.6,No
42,80504,759,417003,22,0,10,42.7,Yes
49,79720,687,197309,26,0,7,51.5,Yes
23,54701,556,157507,3,1,5,27.0,No
32,37674,519,975748,9,0,5,34.6,No
46,43874,772,64743,24,0,5,32.3,Yes
36,63642,618,802462,14,1,15,64.1,No
57,85160,570,96101,35,1,3,26.1,No
42,37602,503,292717,23,0,15,26.2,No
49,45931,720,695822,26,1,10,29.5,Yes
34,49192,513,396371,13,0,3,41.1,No
48,66542,502,280604,25,0,10,23.9,Yes
25,62520,715,237450,4,1,3,60.3,Yes
50,84772,728,907558,28,0,15,24.6,Yes
25,78762,835,892503,5,0,5,59.3,Yes
32,70106,685,776481,14,0,7,15.7,Yes
36,45559,554,386907,15,0,5,46.1,No
46,53742,753,537030,23,0,15,59.9,Yes
46,89669,523,809710,23,1,3,19.3,No
41,41754,661,455453,23,0,5,63.3,Yes
59,23972,657,721009,35,1,15,34.9,No
56,90831,581,218785,34,0,10,62.0,No
53,61873,658,254535,30,1,7,47.2,Yes
50,29903,687,750769,26,1,5,26.6,No
57,23020,559,229838,35,1,3,20.4,No
43,61755,804,620442,22,0,10,26.7,Yes
30,65648,818,319160,11,0,15,15.1,Yes
25,29516,710,522779,7,0,7,17.9,Yes
56,22396,651,491904,35,1,3,15.8,No
54,39129,608,926110,32,1,15,33.3,No
51,21591,575,948488,32,0,15,53.8,No
30,31303,529,628526,9,0,5,17.8,No
39,50561,813,370752,18,0,5,17.2,Yes
52,91719,616,663369,34,0,3,45.4,No
21,27314,691,297644,0,0,15,20.8,Yes
25,39623,518,999401,7,1,5,15.4,No
24,87675,672,887393,2,1,7,19.2,Yes
36,85082,727,249775,17,0,7,60.8,Yes
44,53130,849,863349,25,0,15,55.2,Yes
36,71756,682,990240,13,0,5,29.5,Yes
22,46292,612,864422,0,0,3,46.1,No
48,89274,682,112551,24,0,3,39.6,Yes
52,22469,645,784983,33,0,3,47.2,No
47,73947,818,727800,28,1,7,47.5,Yes
40,42534,615,216277,20,0,5,44.6,No
44,83620,612,130811,24,0,5,24.6,No
32,68874,750,829128,12,1,7,12.1,Yes
55,69708,750,891535,31,1,3,35.1,Yes
53,94553,802,514028,30,0,3,59.0,Yes
53,88344,812,418266,32,0,15,41.3,Yes
57,69138,617,284104,35,0,10,55.8,No
32,74302,800,593296,9,1,5,64.5,Yes
23,67638,660,252346,5,1,5,19.0,Yes
21,98249,697,606690,0,1,5,48.0,No
53,22719,759,234456,33,0,10,47.1,Yes
60,42890,647,834282,35,1,15,63.9,No
30,97236,739,449009,9,0,10,64.2,Yes
49,56509,546,546043,27,0,3,47.8,No
33,62534,697,186643,11,0,3,23.4,Yes
32,38787,546,540083,11,0,5,53.9,No
51,68845,577,983713,31,0,7,15.9,No
22,77932,623,163550,0,1,5,52.9,No
55,53062,574,534146,34,1,7,60.1,Yes
43,95713,636,141218,22,0,10,31.1,Yes
37,80461,589,183296,16,0,3,44.7,No
46,95418,824,549909,24,0,7,33.7,Yes
28,86672,560,568767,5,0,10,34.1,Yes
49,54832,637,229767,31,0,3,27.1,Yes
46,51966,549,957211,22,1,7,51.9,No
30,92545,758,441858,10,0,5,61.5,Yes
46,32987,606,815348,26,0,5,61.7,No
54,57311,612,290016,35,0,5,19.6,Yes
27,51575,849,82441,4,1,10,58.1,Yes
24,83852,753,288038,3,1,5,50.6,Yes
31,21007,617,744489,7,1,15,23.9,No
49,90981,697,805612,29,1,3,13.7,Yes
56,96242,836,898800,35,0,10,24.7,Yes
45,67517,550,666410,26,0,5,60.2,No
41,49257,744,94760,23,1,3,44.8,Yes
56,62207,534,335622,35,0,7,49.7,No
30,33281,801,964313,9,0,5,24.1,Yes
57,81246,568,908286,35,0,3,49.6,No
29,21435,848,930662,6,0,15,11.5,Yes
44,46660,819,397860,20,0,7,30.6,Yes
55,25084,548,717540,32,0,15,44.5,No
55,33507,573,148538,32,1,3,18.0,No
56,92595,691,589660,35,0,15,55.3,Yes
38,65539,760,866228,14,0,3,22.9,Yes
59,27491,569,561511,35,0,3,45.9,No
52,70192,589,271035,32,0,15,32.3,Yes
44,83888,759,935258,24,0,3,42.8,Yes
43,93609,625,432736,19,0,5,15.9,Yes
52,29077,730,405779,33,0,3,10.9,Yes
57,40953,794,685310,35,0,10,60.0,Yes
32,96919,628,628328,12,0,3,24.8,Yes
33,87889,779,911789,11,0,10,55.1,Yes
43,43821,812,776728,25,0,3,65.0,Yes
45,57567,599,652644,26,0,3,21.6,Yes
55,44860,825,328355,31,0,15,24.6,Yes
50,41195,796,417570,31,0,5,46.5,Yes
37,97475,681,317986,17,0,5,63.1,Yes
40,41427,673,506331,17,0,7,60.4,Yes
45,47083,815,903284,27,0,15,37.7,Yes
42,77372,687,437881,18,1,15,53.7,Yes
33,64064,556,358112,12,1,5,17.5,No
39,27813,530,853940,21,1,15,63.8,No
56,51598,583,203077,34,1,5,63.0,No
32,47082,651,104575,13,0,15,19.0,Yes
39,49241,535,523958,15,1,3,26.5,No
32,64569,712,724331,14,0,5,15.5,Yes
29,31745,605,468815,10,0,5,24.9,No
27,46029,841,530808,3,0,10,54.9,Yes
48,33025,719,641202,28,0,15,30.8,Yes
34,34288,662,823422,16,1,15,14.9,No
51,26540,719,641343,31,0,5,28.8,Yes
39,88878,769,661985,21,1,3,64.0,Yes
36,61846,619,680527,16,0,3,44.6,No
25,95932,835,285469,6,0,3,32.9,Yes
55,37482,681,173106,34,0,15,19.2,Yes
32,43411,605,841787,14,0,10,64.2,No
45,70975,716,890552,27,1,5,55.1,Yes
41,80545,704,517835,21,0,7,25.5,Yes
56,98797,569,350486,32,0,10,13.9,Yes
43,72307,543,52257,25,1,7,13.1,No
36,23093,828,339508,16,0,10,16.6,Yes
59,97258,800,730332,35,1,3,41.9,Yes
59,42042,727,161715,35,0,15,61.1,Yes
34,72930,683,76654,15,0,7,37.3,Yes
51,64413,606,786129,30,0,10,56.4,No
25,53756,583,393567,2,0,15,34.5,Yes
55,73268,837,341464,35,0,7,49.0,Yes
43,59214,749,595096,24,0,5,50.3,Yes
49,48602,520,626677,30,1,10,19.6,No
31,73331,695,538906,7,1,5,29.9,Yes
38,68901,677,168581,19,0,3,45.1,Yes
32,83416,506,177927,8,0,5,13.9,Yes
29,52196,569,84773,10,0,5,29.9,Yes
30,25626,626,756528,8,0,10,39.4,No
37,27424,659,470963,14,1,3,64.8,No
58,32857,747,388540,35,0,5,36.1,Yes
27,39982,702,551590,8,0,15,54.9,No
33,96961,647,419836,10,0,7,33.8,Yes
60,21980,642,264764,35,1,5,53.8,No
29,68290,698,631793,11,0,3,42.7,Yes
47,46431,653,922328,26,0,5,58.8,Yes
22,46385,641,592423,0,0,7,32.6,No
25,58158,812,665175,4,0,3,43.2,Yes
49,43019,664,172118,26,0,10,44.7,Yes
57,38639,813,359521,33,0,3,33.0,Yes
58,41563,520,204626,35,1,10,17.9,No
39,59341,581,898923,18,0,3,15.1,No
28,25776,568,295739,6,0,7,10.9,No
21,56444,630,894715,2,1,7,58.0,No
42,88916,586,528356,24,1,3,23.0,No
37,28711,717,329067,19,0,5,21.6,Yes
27,94318,804,359735,9,0,7,50.5,Yes
45,50707,844,636549,26,0,10,27.6,Yes
24,59110,840,366480,6,1,10,37.8,Yes
56,81788,660,386227,34,0,15,18.9,Yes
26,58827,677,635236,7,0,10,62.8,Yes
51,25655,616,290891,33,0,15,56.8,No
39,64859,695,214074,20,0,3,57.5,Yes
59,73625,826,523314,35,0,3,32.4,No
47,72098,585,559452,25,0,3,51.9,No
30,35251,788,338816,10,0,5,17.9,Yes
46,20526,580,840645,22,0,5,10.5,No
39,88760,651,191365,21,0,15,11.1,Yes
59,67837,560,499076,35,0,10,42.3,No
23,31536,560,112507,4,0,10,35.0,No
33,48541,527,107134,9,0,3,38.5,Yes
48,99083,542,183172,26,0,7,10.4,Yes
40,71027,668,291225,18,1,5,33.2,Yes
48,54531,585,243069,25,1,5,49.5,No
28,28712,676,864604,10,1,3,34.3,No
59,85455,516,856564,35,0,5,50.3,No
21,94744,597,823221,0,0,3,22.8,Yes
23,25109,697,854631,3,0,15,54.7,No
33,69268,597,610897,10,0,10,42.4,No
48,74615,564,224037,25,0,7,21.6,Yes
45,49759,829,713376,23,1,10,23.0,Yes
53,80112,840,482995,33,0,10,44.5,Yes
58,46589,504,546013,35,0,15,55.6,No
26,50015,501,344025,2,1,5,32.9,No
52,49009,521,787954,29,1,7,24.2,No
41,82046,611,860904,21,1,5,57.7,No
36,46143,556,550098,18,0,10,46.8,No
41,26154,565,757173,21,0,3,34.6,No
31,41804,829,805728,7,0,10,36.8,Yes
57,61688,597,307803,35,0,5,21.2,Yes
56,84288,643,741381,35,0,10,44.5,No
55,71195,624,366275,35,0,3,29.7,Yes
39,40581,666,729447,21,1,15,64.8,No
40,72648,585,62828,17,0,5,36.4,Yes
38,50087,575,933096,14,1,10,36.7,No
34,69930,843,566835,16,1,5,41.1,Yes
35,52981,793,706761,15,0,15,60.4,Yes
51,89298,558,851625,31,1,10,54.0,No
21,66167,637,273461,0,0,10,34.8,Yes
23,95304,598,488080,0,0,5,49.5,No
36,63408,691,463523,14,1,5,42.2,Yes
43,59499,742,414662,25,0,3,37.1,Yes
31,72269,818,331755,8,1,15,20.6,Yes
32,58559,548,749151,8,0,3,35.5,No
30,94319,531,979454,12,0,10,23.5,Yes
52,68787,776,388384,32,0,5,60.3,Yes
36,55488,519,289719,12,0,10,28.4,No
28,94441,653,782763,4,0,10,62.4,Yes
58,94663,567,839177,35,0,7,39.3,Yes
32,42431,713,891675,8,1,7,44.7,No
44,81681,642,316010,22,1,10,39.9,No
48,83483,731,737605,24,0,5,17.1,No
28,69153,712,487940,6,1,10,30.7,Yes
