Day,Date,Month,Season,Temperature_C,Ice_Cream_Sales
Wednesday,2025-09-24,September,Monsoon,29.3,327
Thursday,2025-09-25,September,Monsoon,23.2,253
Friday,2025-09-26,September,Monsoon,25.1,266
Saturday,2025-09-27,September,Monsoon,26.3,274
Sunday,2025-09-28,September,Monsoon,28.9,285
Monday,2025-09-29,September,Monsoon,23.1,258
Tuesday,2025-09-30,September,Monsoon,28.3,289
Wednesday,2025-10-01,October,Winter,20.0,207
Thursday,2025-10-02,October,Winter,18.0,194
Friday,2025-10-03,October,Winter,20.9,236
Saturday,2025-10-04,October,Winter,20.4,278
Sunday,2025-10-05,October,Winter,18.8,234
Monday,2025-10-06,October,Winter,20.1,194
Tuesday,2025-10-07,October,Winter,19.2,215
Wednesday,2025-10-08,October,Winter,20.2,227
Thursday,2025-10-09,October,Winter,21.3,193
Friday,2025-10-10,October,Winter,23.2,258
Saturday,2025-10-11,October,Winter,17.6,223
Sunday,2025-10-12,October,Winter,24.3,293
Monday,2025-10-13,October,Winter,16.2,225
Tuesday,2025-10-14,October,Winter,19.8,244
Wednesday,2025-10-15,October,Winter,21.3,235
Thursday,2025-10-16,October,Winter,20.7,217
Friday,2025-10-17,October,Winter,18.9,273
Saturday,2025-10-18,October,Winter,19.7,244
Sunday,2025-10-19,October,Winter,19.1,242
Monday,2025-10-20,October,Winter,19.0,212
Tuesday,2025-10-21,October,Winter,21.9,243
Wednesday,2025-10-22,October,Winter,20.9,234
Thursday,2025-10-23,October,Winter,18.8,213
Friday,2025-10-24,October,Winter,22.0,240
Saturday,2025-10-25,October,Winter,20.9,251
Sunday,2025-10-26,October,Winter,21.9,252
Monday,2025-10-27,October,Winter,21.5,218
Tuesday,2025-10-28,October,Winter,18.6,216
Wednesday,2025-10-29,October,Winter,19.2,219
Thursday,2025-10-30,October,Winter,21.8,273
Friday,2025-10-31,October,Winter,21.6,199
Saturday,2025-11-01,November,Winter,20.4,268
Sunday,2025-11-02,November,Winter,20.7,276
Monday,2025-11-03,November,Winter,23.0,205
Tuesday,2025-11-04,November,Winter,19.3,214
Wednesday,2025-11-05,November,Winter,21.6,235
Thursday,2025-11-06,November,Winter,20.1,207
Friday,2025-11-07,November,Winter,20.1,222
Saturday,2025-11-08,November,Winter,22.8,246
Sunday,2025-11-09,November,Winter,22.3,297
Monday,2025-11-10,November,Winter,22.3,254
Tuesday,2025-11-11,November,Winter,23.3,273
Wednesday,2025-11-12,November,Winter,20.8,249
Thursday,2025-11-13,November,Winter,22.1,227
Friday,2025-11-14,November,Winter,20.2,227
Saturday,2025-11-15,November,Winter,21.5,265
Sunday,2025-11-16,November,Winter,20.6,231
Monday,2025-11-17,November,Winter,21.1,241
Tuesday,2025-11-18,November,Winter,22.1,236
Wednesday,2025-11-19,November,Winter,19.3,218
Thursday,2025-11-20,November,Winter,25.2,284
Friday,2025-11-21,November,Winter,19.0,235
Saturday,2025-11-22,November,Winter,18.7,229
Sunday,2025-11-23,November,Winter,23.5,295
Monday,2025-11-24,November,Winter,22.8,222
Tuesday,2025-11-25,November,Winter,22.5,255
Wednesday,2025-11-26,November,Winter,22.5,259
Thursday,2025-11-27,November,Winter,21.3,236
Friday,2025-11-28,November,Winter,19.5,237
Saturday,2025-11-29,November,Winter,21.5,234
Sunday,2025-11-30,November,Winter,20.1,265
Monday,2025-12-01,December,Winter,23.4,242
Tuesday,2025-12-02,December,Winter,21.2,225
Wednesday,2025-12-03,December,Winter,19.9,248
Thursday,2025-12-04,December,Winter,21.0,227
Friday,2025-12-05,December,Winter,22.5,228
Saturday,2025-12-06,December,Winter,20.6,221
Sunday,2025-12-07,December,Winter,20.1,260
Monday,2025-12-08,December,Winter,22.3,214
Tuesday,2025-12-09,December,Winter,22.3,274
Wednesday,2025-12-10,December,Winter,20.9,199
Thursday,2025-12-11,December,Winter,21.0,270
Friday,2025-12-12,December,Winter,22.5,258
Saturday,2025-12-13,December,Winter,19.1,237
Sunday,2025-12-14,December,Winter,19.3,233
Monday,2025-12-15,December,Winter,20.7,232
Tuesday,2025-12-16,December,Winter,21.8,238
Wednesday,2025-12-17,December,Winter,22.9,272
Thursday,2025-12-18,December,Winter,25.2,273
Friday,2025-12-19,December,Winter,24.0,268
Saturday,2025-12-20,December,Winter,22.1,254
Sunday,2025-12-21,December,Winter,22.4,265
Monday,2025-12-22,December,Winter,20.5,229
Tuesday,2025-12-23,December,Winter,22.5,213
Wednesday,2025-12-24,December,Winter,22.0,221
Thursday,2025-12-25,December,Winter,23.3,270
Friday,2025-12-26,December,Winter,21.0,246
Saturday,2025-12-27,December,Winter,23.8,270
Sunday,2025-12-28,December,Winter,25.9,293
Monday,2025-12-29,December,Winter,22.6,246
Tuesday,2025-12-30,December,Winter,23.7,243
Wednesday,2025-12-31,December,Winter,24.3,248
